timestamp,src_ip,dst_ip,icmp_type,icmp_code,frame_length,ttl,label
1786194666.456118,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.689035,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.6891868,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194666.851504,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194666.8517213,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194667.0292494,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194667.02933,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194667.1725829,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194667.172672,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194667.3651671,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194667.3653896,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194667.6510968,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194667.6513467,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194667.796536,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194667.7967863,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194667.873314,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194667.8735695,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.0580668,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194668.0582724,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.217727,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
1786194668.2179625,127.0.0.1,127.0.0.1,0,0,64,128,ICMP_TRAFFIC
1786194668.4298763,127.0.0.1,127.0.0.1,8,0,64,128,ICMP_TRAFFIC
