flow_id,src_ip,dst_ip,src_port,dst_port,flow_duration,total_packets,total_bytes,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,avg_packet_length,min_packet_length,max_packet_length,tcp_syn_count,tcp_fin_count,tcp_ack_count,label,source_dataset,avg_udp_length,min_udp_length,max_udp_length,total_requests,request_rate,avg_uri_length,max_uri_length,avg_query_length,avg_special_char_count,total_angle_bracket_count,total_script_keyword_count,total_event_handler_count,total_encoded_char_count,avg_user_agent_length,avg_frame_length,max_frame_length,icmp_request_count,icmp_reply_count,icmp_other_count,request_reply_ratio,avg_ttl
127.0.0.1_127.0.0.1_62545_5039,127.0.0.1,127.0.0.1,62545.0,5039.0,0.0041661262512207,4.0,188,4.0,0.0,188.0,0.0,960.1245278699782,45125.85280988898,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62546_5040,127.0.0.1,127.0.0.1,62546.0,5040.0,120.01404786109924,4.0,188,4.0,0.0,188.0,0.0,0.0333294316064523,1.566483285503258,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62547_5041,127.0.0.1,127.0.0.1,62547.0,5041.0,0.0027341842651367,4.0,188,4.0,0.0,188.0,0.0,1462.9591907917684,68759.08196721312,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62548_5042,127.0.0.1,127.0.0.1,62548.0,5042.0,0.010148286819458,4.0,188,4.0,0.0,188.0,0.0,394.1551979325737,18525.294302830964,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62549_5043,127.0.0.1,127.0.0.1,62549.0,5043.0,0.0042853355407714,4.0,188,4.0,0.0,188.0,0.0,933.4158228552352,43870.54367419606,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62550_5044,127.0.0.1,127.0.0.1,62550.0,5044.0,0.012143850326538,4.0,188,4.0,0.0,188.0,0.0,329.3848237950329,15481.086718366543,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62551_5045,127.0.0.1,127.0.0.1,62551.0,5045.0,0.0193915367126464,4.0,188,4.0,0.0,188.0,0.0,206.27555511840063,9694.951090564831,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62552_5046,127.0.0.1,127.0.0.1,62552.0,5046.0,0.0126278400421142,4.0,188,4.0,0.0,188.0,0.0,316.7604266968753,14887.74005475314,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62553_5047,127.0.0.1,127.0.0.1,62553.0,5047.0,0.0065295696258544,4.0,188,4.0,0.0,188.0,0.0,612.5978018768029,28792.09668820973,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62554_5048,127.0.0.1,127.0.0.1,62554.0,5048.0,0.0144534111022949,4.0,188,4.0,0.0,188.0,0.0,276.7512784137772,13007.310085447529,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62555_5049,127.0.0.1,127.0.0.1,62555.0,5049.0,0.022303819656372,4.0,188,4.0,0.0,188.0,0.0,179.34147879720788,8429.04950346877,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62556_5050,127.0.0.1,127.0.0.1,62556.0,5050.0,0.0077543258666992,4.0,188,4.0,0.0,188.0,0.0,515.8411019554791,24244.531791907517,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62557_5001,127.0.0.1,127.0.0.1,62557.0,5001.0,0.0020904541015625,4.0,188,4.0,0.0,188.0,0.0,1913.4598540145985,89932.61313868614,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62558_5002,127.0.0.1,127.0.0.1,62558.0,5002.0,0.0275905132293701,4.0,188,4.0,0.0,188.0,0.0,144.9773683710239,6813.936313438124,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62559_5003,127.0.0.1,127.0.0.1,62559.0,5003.0,0.0222983360290527,4.0,188,4.0,0.0,188.0,0.0,179.38558261873703,8431.122383080641,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
127.0.0.1_127.0.0.1_62560_5004,127.0.0.1,127.0.0.1,62560.0,5004.0,0.0168962478637695,4.0,188,4.0,0.0,188.0,0.0,236.7389512897217,11126.73071061692,47.0,44.0,56.0,0.0,0.0,0.0,PORT_SCAN,port_scan_04_flows.csv,,,,,,,,,,,,,,,,,,,,,
