timestamp,src_ip,dst_ip,src_port,dst_port,tcp_flags,frame_length,tcp_length,label
1786177149.8140616,127.0.0.1,127.0.0.1,59428,5052,,44,0,HTTP_FLOOD
1786177149.815868,127.0.0.1,127.0.0.1,59428,5052,,44,0,HTTP_FLOOD
1786177149.8202736,127.0.0.1,127.0.0.1,59429,5052,,56,0,HTTP_FLOOD
1786177149.8203917,127.0.0.1,127.0.0.1,59429,5052,,44,0,HTTP_FLOOD
1786177149.8205724,127.0.0.1,127.0.0.1,59429,5052,,183,139,HTTP_FLOOD
1786177149.821426,127.0.0.1,127.0.0.1,59429,5052,,44,0,HTTP_FLOOD
1786177149.8214476,127.0.0.1,127.0.0.1,59429,5052,,44,0,HTTP_FLOOD
1786177149.8264067,127.0.0.1,127.0.0.1,59429,5052,,44,0,HTTP_FLOOD
1786177149.8281984,127.0.0.1,127.0.0.1,59429,5052,,44,0,HTTP_FLOOD
1786177149.831876,127.0.0.1,127.0.0.1,59430,5052,,56,0,HTTP_FLOOD
1786177149.8319876,127.0.0.1,127.0.0.1,59430,5052,,44,0,HTTP_FLOOD
1786177149.8321135,127.0.0.1,127.0.0.1,59430,5052,,183,139,HTTP_FLOOD
1786177149.8329356,127.0.0.1,127.0.0.1,59430,5052,,44,0,HTTP_FLOOD
1786177149.8329563,127.0.0.1,127.0.0.1,59430,5052,,44,0,HTTP_FLOOD
1786177149.8381064,127.0.0.1,127.0.0.1,59430,5052,,44,0,HTTP_FLOOD
1786177149.8400567,127.0.0.1,127.0.0.1,59430,5052,,44,0,HTTP_FLOOD
1786177149.8443365,127.0.0.1,127.0.0.1,59431,5052,,56,0,HTTP_FLOOD
1786177149.8444667,127.0.0.1,127.0.0.1,59431,5052,,44,0,HTTP_FLOOD
1786177149.8446453,127.0.0.1,127.0.0.1,59431,5052,,183,139,HTTP_FLOOD
1786177149.8456423,127.0.0.1,127.0.0.1,59431,5052,,44,0,HTTP_FLOOD
1786177149.8456657,127.0.0.1,127.0.0.1,59431,5052,,44,0,HTTP_FLOOD
1786177149.8509843,127.0.0.1,127.0.0.1,59431,5052,,44,0,HTTP_FLOOD
1786177149.8530886,127.0.0.1,127.0.0.1,59431,5052,,44,0,HTTP_FLOOD
1786177149.8570292,127.0.0.1,127.0.0.1,59432,5052,,56,0,HTTP_FLOOD
1786177149.8571424,127.0.0.1,127.0.0.1,59432,5052,,44,0,HTTP_FLOOD
1786177149.857292,127.0.0.1,127.0.0.1,59432,5052,,183,139,HTTP_FLOOD
1786177149.8583095,127.0.0.1,127.0.0.1,59432,5052,,44,0,HTTP_FLOOD
1786177149.8583336,127.0.0.1,127.0.0.1,59432,5052,,44,0,HTTP_FLOOD
1786177149.8636165,127.0.0.1,127.0.0.1,59432,5052,,44,0,HTTP_FLOOD
1786177149.8658812,127.0.0.1,127.0.0.1,59432,5052,,44,0,HTTP_FLOOD
1786177149.8702607,127.0.0.1,127.0.0.1,59433,5052,,56,0,HTTP_FLOOD
1786177149.870372,127.0.0.1,127.0.0.1,59433,5052,,44,0,HTTP_FLOOD
1786177149.8705444,127.0.0.1,127.0.0.1,59433,5052,,183,139,HTTP_FLOOD
1786177149.8713274,127.0.0.1,127.0.0.1,59433,5052,,44,0,HTTP_FLOOD
